,, Week,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-02,2026-03-02
823,TRUFFALDINO,SMB (AM Segment),30.0%,19,0.0%,€14.96,30.0%,12,0.0%,€11.44
824,ZATYSHOK,SMB (AM Segment),30.0%,3,0.0%,€13.44,30.0%,3,0.0%,€14.29
825,STREET FOOD DROVA,SMB (AM Segment),30.0%,3,0.0%,€9.81,30.0%,2,0.0%,€6.80
826,GOKHO,SMB (AM Segment),30.0%,16,0.0%,€19.14,29.1%,12,0.0%,€26.39
827,SHALENE KURCHA,SMB (AM Segment),30.0%,3,0.0%,€10.44,30.0%,4,0.0%,€9.89
828,TAVERNA ZYTTYA VDALOS,SMB (AM Segment),30.0%,6,0.0%,€13.70,30.0%,7,0.0%,€14.09
829,ANJIS HALL,SMB (AM Segment),30.0%,4,100.0%,€39.48,,,,
830,GOOD BEER KV,SMB (AM Segment),30.0%,8,0.0%,€11.17,28.7%,12,0.0%,€11.61
831,SMA4NA SHAURMA,SMB (AM Segment),30.0%,13,0.0%,€14.13,30.0%,19,0.0%,€13.68
832,BOHO,SMB (AM Segment),30.0%,1,0.0%,€11.03,,,,
833,TO CAFE,SMB (AM Segment),30.0%,3,0.0%,€15.99,30.0%,2,0.0%,€18.47
834,OTDOCHNULI,SMB (AM Segment),30.0%,2,0.0%,€11.80,30.0%,1,0.0%,€11.73
835,MYASO NA DROVAH,SMB (AM Segment),30.0%,1,0.0%,€7.24,,,,
836,CLEO REST,SMB (AM Segment),30.0%,3,0.0%,€8.34,,,,
837,AMIANO,SMB (AM Segment),30.0%,3,0.0%,€9.06,30.0%,1,0.0%,€5.70
838,FAST FOOD LOLA,SMB (AM Segment),30.0%,5,0.0%,€10.76,30.0%,2,0.0%,€13.50
839,DON UDON KR,SMB (AM Segment),30.0%,1,0.0%,€6.71,,,,
840,PRO GASTRO PUB,SMB (AM Segment),30.0%,15,0.0%,€14.09,30.0%,15,0.0%,€16.32
841,VINNYTSIA FOOD MARKET,SMB (AM Segment),30.0%,18,0.0%,€23.67,29.7%,7,0.0%,€16.13
842,PAN PICA,SMB (AM Segment),30.0%,3,100.0%,€18.31,30.6%,9,100.0%,€12.79
843,SWEET HOUSE,SMB (AM Segment),30.0%,1,0.0%,€28.46,30.0%,1,0.0%,€15.85
844,SHASHLYCHNYI DVORYK,SMB (AM Segment),30.0%,1,100.0%,€30.24,31.4%,6,100.0%,€29.75
845,INTERMEZZO DP,SMB (AM Segment),30.0%,102,0.0%,€18.78,30.0%,107,0.0%,€20.27
846,SHAWARMA EXPRESS №1,SMB (AM Segment),30.0%,3,0.0%,€19.23,30.0%,4,0.0%,€8.44
847,KOZATSKA BROVARNIA,Mid-market (AM Segment),30.0%,4,0.0%,€8.40,30.0%,9,0.0%,€7.52
848,SKYFOOD,SMB (AM Segment),30.0%,36,0.0%,€15.22,30.0%,36,0.0%,€16.03
849,FRANS.UA LV,SMB (AM Segment),30.0%,2,0.0%,€7.77,,,,
850,YELLOWBLUEBUS,SMB (AM Segment),30.0%,2,0.0%,€17.88,28.7%,4,0.0%,€16.82
851,PASTATECA,SMB (AM Segment),30.0%,2,0.0%,€18.59,,,,
852,DOUBLEDECKER CAKECOFFEE,SMB (AM Segment),30.0%,1,100.0%,€18.48,33.4%,7,100.0%,€10.79
853,SAIL BAR DP,SMB (AM Segment),30.0%,2,0.0%,€9.76,30.0%,5,0.0%,€10.79
854,GOOD FOOD,SMB (AM Segment),30.0%,6,0.0%,€10.02,30.0%,7,0.0%,€13.60
855,DNIPROVSKA REBERNYA,Mid-market (AM Segment),30.0%,54,0.0%,€22.35,29.9%,68,0.0%,€23.45
856,DRAGON WOK,Mid-market (AM Segment),30.0%,19,0.0%,€12.84,30.0%,14,0.0%,€14.21
857,BEER FRESH,SMB (AM Segment),30.0%,5,0.0%,€8.19,30.0%,4,0.0%,€9.06
858,MAHAZYNKAFE KEGA,SMB (AM Segment),30.0%,2,0.0%,€10.18,,,,
859,NASTOYASHCHIY SHASHLYK,SMB (AM Segment),30.0%,6,0.0%,€26.65,30.0%,2,0.0%,€16.52
860,RIVIERA KR,SMB (AM Segment),30.0%,1,0.0%,€11.47,30.0%,4,0.0%,€32.60
861,KINZA,SMB (AM Segment),30.0%,2,0.0%,€12.00,,,,
862,KLARA ZACHARIVNA,SMB (AM Segment),30.0%,11,0.0%,€12.09,29.3%,31,0.0%,€9.27
863,FABRICA SMAKIV,SMB (AM Segment),30.0%,4,0.0%,€6.87,30.0%,5,0.0%,€10.15
864,CHILLI PIZZA KV,SMB (AM Segment),30.0%,1,0.0%,€5.49,35.0%,1,0.0%,€5.86
865,MAHAZYN ROZLYVNOHO PYVA PYVOTEKA,SMB (AM Segment),30.0%,3,0.0%,€9.35,,,,
866,SUSHI 24,SMB (AM Segment),30.0%,2,0.0%,€25.38,,,,
867,VOGON I TISTO,SMB (AM Segment),30.0%,5,0.0%,€10.11,30.0%,9,0.0%,€12.03
868,BLACK BOX COFFEE,SMB (AM Segment),30.0%,4,100.0%,€7.55,32.2%,3,100.0%,€6.54
869,DOMASHNIA KUKHNIA U DIADKA FEDORA,SMB (AM Segment),30.0%,1,0.0%,€7.68,30.0%,6,0.0%,€14.14
870,RAMEN KARPATSKYI,SMB (AM Segment),30.0%,19,0.0%,€12.18,30.0%,16,0.0%,€14.50
871,HA,SMB (AM Segment),30.0%,6,0.0%,€19.84,30.0%,20,0.0%,€12.94
872,SUSHI TAKE OUT,SMB (AM Segment),30.0%,12,0.0%,€14.48,30.0%,19,0.0%,€16.94
873,MAMYNY DERUNY,Mid-market (AM Segment),30.0%,2,0.0%,€10.74,30.0%,2,0.0%,€10.03
874,SHAURMA LVIV,SMB (AM Segment),30.0%,16,0.0%,€10.10,30.0%,11,0.0%,€11.06
875,DOSTAVKA X YPA,SMB (AM Segment),30.0%,1,0.0%,€8.54,,,,
876,KONDYTERSKA CHRIS CAKE,SMB (AM Segment),30.0%,1,100.0%,€8.89,30.0%,2,100.0%,€23.84
877,MISTECHKOTEMPO,SMB (AM Segment),30.0%,7,0.0%,€8.42,30.0%,6,0.0%,€9.62
878,OPTIMIST BAR,SMB (AM Segment),30.0%,1,0.0%,€8.84,30.0%,1,0.0%,€16.07
879,PAB WITH FRIENDS,SMB (AM Segment),30.0%,1,0.0%,€5.71,,,,
880,PASTRAMI KV,SMB (AM Segment),30.0%,2,0.0%,€18.52,30.0%,1,0.0%,€14.89
881,PITSERIIA HALIA BALUVANA,SMB (AM Segment),30.0%,1,0.0%,€9.05,30.0%,3,0.0%,€9.75
882,SAKURA SUSHI,SMB (AM Segment),30.0%,1,100.0%,€16.01,30.0%,3,66.8%,€26.98
883,TUK TUK UA,SMB (AM Segment),30.0%,5,0.0%,€17.98,30.0%,9,0.0%,€18.92
884,G COFFEE,SMB (AM Segment),30.0%,25,0.0%,€10.64,30.0%,28,0.0%,€11.06
885,BOB MARLEY,Mid-market (AM Segment),30.0%,33,0.0%,€18.72,30.0%,31,0.0%,€19.22
886,AYO,SMB (AM Segment),30.0%,20,0.0%,€15.91,30.0%,12,0.0%,€13.88
887,BURGER SUSHI POINT,SMB (AM Segment),30.0%,1,100.0%,€17.89,31.7%,4,100.0%,€21.77
888,EMIR DONER,SMB (AM Segment),30.0%,11,0.0%,€12.50,30.0%,19,0.0%,€14.55
889,DONER KEBAB OSMAN,SMB (AM Segment),30.0%,30,0.0%,€9.00,30.0%,24,0.0%,€8.47
890,MOONIELL FOOD,SMB (AM Segment),30.0%,22,0.0%,€11.75,28.6%,19,0.0%,€13.33
891,INTEMPO,Mid-market (AM Segment),30.0%,113,0.0%,€11.76,30.0%,98,0.0%,€12.16
892,PALYANYTSIA IF,SMB (AM Segment),30.0%,11,0.0%,€8.31,30.0%,16,0.0%,€8.87
893,SUCHEFF,SMB (AM Segment),30.0%,1,0.0%,€20.38,,,,
894,DONAS TURKISH DONER KEBAB,SMB (AM Segment),30.0%,6,0.0%,€14.03,30.0%,5,0.0%,€19.89
895,4.5.0.,SMB (AM Segment),30.0%,1,0.0%,€13.74,30.0%,3,0.0%,€9.23
896,SUSHI VIBE KR,SMB (AM Segment),30.0%,2,0.0%,€14.02,31.3%,3,0.0%,€19.51
897,PANI KARTOPLA,SMB (AM Segment),30.0%,6,0.0%,€11.34,27.2%,9,0.0%,€18.82
898,PYVNYJ SUSID,SMB (AM Segment),30.0%,4,0.0%,€9.99,30.0%,1,0.0%,€16.31
899,SHEF KLUB,SMB (AM Segment),30.0%,1,0.0%,€14.23,30.0%,1,0.0%,€18.60
900,RESTORANNYJ KOMPLEKS DYKANKA HOHOLPAB,SMB (AM Segment),30.0%,1,100.0%,€35.69,32.3%,2,100.0%,€13.36
901,HELLO BURGER CHERKASY,Mid-market (AM Segment),30.0%,43,0.0%,€18.81,30.0%,39,0.0%,€18.29
902,LEONARDO,SMB (AM Segment),30.0%,1,0.0%,€8.79,30.0%,1,0.0%,€20.55
903,RIDNA KHATA,SMB (AM Segment),30.0%,2,50.0%,€8.42,32.0%,3,100.0%,€9.93
904,TATARKA CHEBUREKY POKRYMSKY,SMB (AM Segment),30.0%,1,100.0%,€25.47,28.5%,3,100.0%,€20.82
905,LUX KR,SMB (AM Segment),30.0%,1,0.0%,€59.11,,,,
906,KHACHAPURI TA OBID,SMB (AM Segment),30.0%,1,0.0%,€16.32,,,,
907,HAPPY PIZZA,SMB (AM Segment),30.0%,2,0.0%,€15.28,30.0%,3,0.0%,€13.54
908,TEMPO CAFFE,SMB (AM Segment),30.0%,21,0.0%,€11.03,30.0%,19,0.0%,€12.20
909,GOSTI BAR,SMB (AM Segment),30.0%,1,0.0%,€19.61,30.0%,1,0.0%,€9.39
910,V'DELAH DP,SMB (AM Segment),30.0%,3,0.0%,€12.39,,,,
911,BORSHCHBURGER BAR,SMB (AM Segment),30.0%,7,0.0%,€28.47,30.0%,9,0.0%,€27.57
912,VIVA OLIVA,Mid-market (AM Segment),30.0%,7,0.0%,€9.75,30.0%,12,0.0%,€9.01
913,MA KITCHENBAR,SMB (AM Segment),30.0%,1,0.0%,€17.91,,,,
914,RESTO TEMO,SMB (AM Segment),30.0%,4,0.0%,€16.42,30.0%,6,0.0%,€28.51
915,SHAURMA.DP.UA,SMB (AM Segment),30.0%,13,0.0%,€11.16,30.0%,6,0.0%,€10.18
916,ESTETYCHNIY GALAMIDER,SMB (AM Segment),30.0%,6,0.0%,€28.68,30.0%,3,0.0%,€28.12
917,DYLETANT,SMB (AM Segment),30.0%,7,0.0%,€10.04,30.0%,4,0.0%,€11.67
918,MELROUZ POLTAVA,SMB (AM Segment),30.0%,10,0.0%,€16.80,30.0%,6,0.0%,€17.63
919,MUSSE,SMB (AM Segment),30.0%,5,0.0%,€13.25,30.0%,6,0.0%,€11.53
920,CHINANAY CAFE,SMB (AM Segment),30.0%,7,0.0%,€15.49,30.0%,9,0.0%,€22.89
921,PICA KHATA,SMB (AM Segment),30.0%,3,0.0%,€10.16,30.0%,1,0.0%,€10.98
922,"BELLA, CIAO VINNYTSIA",SMB (AM Segment),30.0%,8,0.0%,€22.98,30.0%,7,0.0%,€16.26
923,DOSTAVKA X DZ,SMB (AM Segment),30.0%,1,0.0%,€8.51,30.0%,1,0.0%,€9.37
924,DONERMEALS,SMB (AM Segment),30.0%,3,0.0%,€8.39,30.0%,6,0.0%,€10.87
925,ADJARSKYJ,SMB (AM Segment),30.0%,1,100.0%,€11.70,28.7%,3,100.0%,€19.53
926,VASABI CHAUS,SMB (AM Segment),30.0%,1,0.0%,€41.05,30.0%,1,0.0%,€11.04
927,BROTHERS PIZZA,SMB (AM Segment),30.0%,4,0.0%,€8.42,30.0%,2,0.0%,€7.65
928,SHAURMA,SMB (AM Segment),30.0%,6,0.0%,€13.86,30.0%,2,0.0%,€15.06
929,MR KRABS SUSHI,SMB (AM Segment),30.0%,1,0.0%,€45.13,30.0%,1,0.0%,€20.35
930,KURTO,SMB (AM Segment),30.0%,2,0.0%,€10.76,30.0%,1,0.0%,€14.16
931,NEW BOMBAY PALACE,SMB (AM Segment),30.0%,12,0.0%,€29.24,30.0%,2,0.0%,€37.74
932,FICHTE’N,SMB (AM Segment),30.0%,1,0.0%,€8.80,30.0%,2,0.0%,€18.79
933,LAGOM,SMB (AM Segment),30.0%,1,0.0%,€78.30,30.0%,3,0.0%,€18.09
934,MEDUZA PUB,SMB (AM Segment),30.0%,1,100.0%,€21.15,,,,
935,I NE TILKI,SMB (AM Segment),30.0%,1,0.0%,€8.11,,,,
936,EAT WELL,SMB (AM Segment),30.0%,1,0.0%,€5.04,,,,
937,BAHO,SMB (AM Segment),30.0%,5,0.0%,€10.05,30.0%,4,0.0%,€12.85
938,FOOD 0432,SMB (AM Segment),30.0%,6,0.0%,€11.15,33.0%,3,0.0%,€5.59
939,MORE SUSHI KYIV,SMB (AM Segment),30.0%,7,0.0%,€26.85,29.5%,18,0.0%,€35.96
940,CASA LORA,SMB (AM Segment),30.0%,51,0.0%,€26.29,30.2%,50,0.0%,€26.90
941,PIV.KO,SMB (AM Segment),30.0%,6,0.0%,€10.68,29.4%,10,0.0%,€12.78
942,MIXOLOGIA,SMB (AM Segment),30.0%,5,100.0%,€21.98,29.8%,9,100.0%,€20.45
943,MAGIC BOWLS,Mid-market (AM Segment),30.0%,102,0.0%,€13.70,29.9%,88,0.0%,€13.57
944,ABOKADO,Mid-market (AM Segment),30.0%,54,0.0%,€28.64,29.6%,64,0.0%,€27.54
945,ITALIJSKA REDAKCIJA,SMB (AM Segment),30.0%,25,100.0%,€32.16,29.5%,26,100.0%,€37.24
946,47 CAFE BISTRO,SMB (AM Segment),30.0%,6,0.0%,€18.92,32.4%,9,0.0%,€15.12
947,HOCHY KEBAB,Mid-market (AM Segment),29.9%,42,0.0%,€10.91,30.0%,30,0.0%,€11.95
948,NAPO,Mid-market (AM Segment),29.9%,93,100.0%,€10.91,29.9%,96,100.0%,€10.77
949,MARCUS KARAOKE BAR,SMB (AM Segment),29.9%,5,0.0%,€14.11,31.6%,5,0.0%,€20.01
950,SHISHABGARDEN,SMB (AM Segment),29.9%,3,0.0%,€15.07,,,,
951,EPIC CHEESEBURGER,Mid-market (AM Segment),29.9%,62,100.0%,€24.00,30.7%,28,100.0%,€20.14
952,BURBURGER,SMB (AM Segment),29.9%,16,100.0%,€17.36,29.5%,28,100.0%,€16.05
953,PLAV VINNIY BAR,SMB (AM Segment),29.9%,3,0.0%,€12.47,28.2%,6,0.0%,€17.13
954,TAKAKHULI,SMB (AM Segment),29.9%,5,0.0%,€29.58,29.7%,2,0.0%,€19.11
955,SUSHI BAR 39,SMB (AM Segment),29.9%,2,100.0%,€29.74,,,,
956,LVIVSKI OBIDY,SMB (AM Segment),29.9%,6,100.0%,€17.53,29.6%,11,100.0%,€14.98
957,LVIVSKI MLYNCI,SMB (AM Segment),29.9%,20,100.0%,€14.76,26.2%,32,100.0%,€18.02
958,DOMASHNYA YIZA,Mid-market (AM Segment),29.8%,23,0.0%,€15.30,27.3%,25,0.0%,€19.92
959,ROAD FOOD KYIV,SMB (AM Segment),29.8%,4,0.0%,€23.05,28.6%,6,0.0%,€19.48
960,ULOV SUSHI,Mid-market (AM Segment),29.8%,18,100.0%,€20.39,29.0%,19,100.0%,€24.67
961,SCORINI,SMB (AM Segment),29.8%,11,0.0%,€21.34,30.0%,14,0.0%,€17.54
962,DEZAKLAD,SMB (AM Segment),29.8%,31,0.0%,€14.63,30.0%,37,0.0%,€17.49
963,CHILI PIZZA,SMB (AM Segment),29.8%,27,0.0%,€16.19,29.7%,30,0.0%,€15.19
964,PAPI,SMB (AM Segment),29.8%,25,100.0%,€18.16,29.5%,22,100.0%,€19.08
965,PASAZH GARTENBERG,Mid-market (AM Segment),29.8%,58,100.0%,€18.46,29.4%,92,100.0%,€17.52
966,SHOZA PIZZA,SMB (AM Segment),29.8%,19,0.0%,€12.11,29.3%,16,0.0%,€12.49
967,RAMEN BAR,SMB (AM Segment),29.8%,4,0.0%,€14.76,29.7%,1,0.0%,€25.81
968,SAMA SUSHI,SMB (AM Segment),29.8%,7,100.0%,€22.25,32.7%,4,100.0%,€30.03
969,MAXBEER,Mid-market (AM Segment),29.8%,72,88.8%,€11.18,29.8%,93,78.1%,€10.52
970,BRO DOG,SMB (AM Segment),29.8%,1,100.0%,€11.84,29.7%,2,100.0%,€20.73
971,NASTAV CHAS PYVA,SMB (AM Segment),29.8%,1,0.0%,€11.74,35.0%,2,0.0%,€11.34
972,OLD HRUZIYA,SMB (AM Segment),29.8%,1,100.0%,€27.85,30.6%,5,100.0%,€15.33
973,BURGERBEER,SMB (AM Segment),29.8%,21,0.0%,€11.98,30.0%,10,0.0%,€13.97
974,BEZ DVEREY ESPRESSO BAR,SMB (AM Segment),29.7%,1,0.0%,€15.93,29.7%,4,0.0%,€27.74
975,DUBH LIONN,SMB (AM Segment),29.7%,5,0.0%,€11.76,29.7%,5,0.0%,€11.18
976,CAFE 213,SMB (AM Segment),29.7%,5,100.0%,€19.02,30.6%,9,100.0%,€16.94
977,SAMANDARDONER,Mid-market (AM Segment),29.7%,13,0.0%,€9.02,29.9%,9,0.0%,€9.90
978,CRAZYCRAB,Mid-market (AM Segment),29.7%,55,36.0%,€18.57,28.7%,61,66.0%,€23.20
979,SHAURMA KHARKIV,SMB (AM Segment),29.7%,7,0.0%,€15.49,28.8%,2,0.0%,€12.80
980,DEPARTAMENT PELMENIV,Mid-market (AM Segment),29.7%,15,0.0%,€20.37,27.0%,19,0.0%,€16.54
981,IKURA ZH,SMB (AM Segment),29.7%,10,100.0%,€18.31,30.4%,14,100.0%,€24.03
982,KAFEBAR PINTA,SMB (AM Segment),29.7%,1,0.0%,€22.07,,,,
983,RESTORACIYA TOVSTA KACHKA,SMB (AM Segment),29.7%,4,0.0%,€29.08,30.8%,4,0.0%,€36.83
984,MAMA MZAREULI,SMB (AM Segment),29.7%,1,0.0%,€23.62,33.0%,1,0.0%,€19.15
985,STARYY ZAMOK,SMB (AM Segment),29.7%,2,100.0%,€13.61,,,,
986,CULT PIZZA,SMB (AM Segment),29.7%,29,100.0%,€14.83,31.0%,26,100.0%,€17.14
987,PRESTO KHM,SMB (AM Segment),29.7%,7,100.0%,€13.03,29.7%,4,100.0%,€9.45
988,GASTRO-EXPRESS,SMB (AM Segment),29.7%,5,100.0%,€38.88,28.3%,8,100.0%,€22.69
989,RADIO TBILISI,SMB (AM Segment),29.7%,9,100.0%,€25.43,28.9%,18,100.0%,€25.89
990,BURGER AND ROLL,SMB (AM Segment),29.7%,7,100.0%,€16.78,31.8%,5,100.0%,€20.14
991,COMBO PIZZA,SMB (AM Segment),29.6%,1,0.0%,€16.10,29.7%,3,0.0%,€19.47
992,BAR DONER,SMB (AM Segment),29.6%,5,100.0%,€13.74,29.8%,3,100.0%,€14.12
993,TERTI PLYACKY,Mid-market (AM Segment),29.6%,33,100.0%,€18.53,29.6%,26,100.0%,€18.02
994,BUDUBORSHCH CAFE,SMB (AM Segment),29.6%,22,100.0%,€20.57,29.5%,18,100.0%,€24.40
995,BAFFALO PAB,SMB (AM Segment),29.6%,16,0.0%,€12.28,30.0%,12,0.0%,€13.09
996,GEORGIAN FACTORY,SMB (AM Segment),29.5%,5,100.0%,€15.09,27.4%,13,100.0%,€33.63
997,SYRNYK,SMB (AM Segment),29.5%,7,100.0%,€20.96,30.4%,3,100.0%,€12.52
998,MINISTRY OF CHEBUREKS,Mid-market (AM Segment),29.5%,27,100.0%,€19.41,28.4%,27,100.0%,€14.60
999,BISTRO OSETYNSKI PYROHY,SMB (AM Segment),29.5%,15,100.0%,€19.64,28.6%,12,100.0%,€25.02
1000,VARENYKY I PELMENI,SMB (AM Segment),29.5%,31,0.0%,€12.54,28.9%,27,0.0%,€12.77
1001,WARHOL BAR,SMB (AM Segment),29.5%,2,100.0%,€27.49,,,,
1002,PIFAGORAS STREET FOOD,SMB (AM Segment),29.4%,8,100.0%,€14.76,32.3%,8,100.0%,€11.92
1003,PANASIAN TIGER,SMB (AM Segment),29.4%,3,0.0%,€13.81,28.4%,4,0.0%,€11.80
1004,FAST FISH,SMB (AM Segment),29.4%,7,0.0%,€23.61,30.8%,5,0.0%,€10.91
1005,KAFE KUMASYA,SMB (AM Segment),29.4%,5,0.0%,€10.60,30.0%,2,0.0%,€10.89
1006,CAFE NEOLIT,SMB (AM Segment),29.4%,4,0.0%,€17.37,30.0%,4,0.0%,€32.33
1007,KYIVSKA SHAURMA №1,Mid-market (AM Segment),29.4%,106,91.2%,€13.42,29.5%,72,79.8%,€13.80
1008,UKRAINSKE KAFE INSHI,SMB (AM Segment),29.4%,10,100.0%,€18.47,26.3%,18,100.0%,€20.40
1009,WOK BANDA,SMB (AM Segment),29.4%,39,0.0%,€21.89,29.1%,53,0.0%,€23.64
1010,FOOD GARAGE,SMB (AM Segment),29.4%,11,100.0%,€13.46,,,,
1011,RISE CAFE,SMB (AM Segment),29.4%,21,0.0%,€21.40,28.8%,20,0.0%,€19.55
1012,PYVNYJ RESTORAN MR BO,SMB (AM Segment),29.3%,5,0.0%,€27.15,28.7%,5,0.0%,€24.08
1013,TRULLO DORO,SMB (AM Segment),29.3%,4,0.0%,€27.48,30.2%,4,0.0%,€27.16
1014,KIMBAP HUB,SMB (AM Segment),29.3%,28,0.0%,€14.98,29.3%,51,0.0%,€15.39
1015,ZHEZHE PIZZA,SMB (AM Segment),29.3%,2,0.0%,€14.26,25.3%,2,0.0%,€17.12
1016,MARINAD SHAURMA,SMB (AM Segment),29.3%,26,100.0%,€9.63,28.7%,34,100.0%,€9.96
1017,MYASNA BOCHKA,SMB (AM Segment),29.3%,6,0.0%,€12.94,32.0%,5,0.0%,€17.95
1018,SUSHI FAMILY,Mid-market (AM Segment),29.3%,47,100.0%,€17.29,27.6%,66,100.0%,€19.28
1019,COSMO PIZZA,SMB (AM Segment),29.3%,6,100.0%,€11.13,25.6%,6,100.0%,€14.83
1020,SUSHIBAR,SMB (AM Segment),29.3%,7,0.0%,€21.33,27.6%,9,0.0%,€39.22
1021,XA KHARKIV FOOD,Mid-market (AM Segment),29.3%,35,56.6%,€10.78,30.0%,48,0.0%,€11.01
1022,SUSHI KYIV,SMB (AM Segment),29.3%,2,0.0%,€21.45,29.3%,9,0.0%,€22.17
1023,YUM YUM,SMB (AM Segment),29.2%,31,100.0%,€26.29,29.6%,29,100.0%,€26.95
1024,BUFFALO KLM,SMB (AM Segment),29.2%,6,0.0%,€15.87,31.1%,15,0.0%,€10.73
1025,SUSHI BAR TOKAYO,Mid-market (AM Segment),29.2%,73,100.0%,€26.44,30.1%,43,100.0%,€27.60
1026,PARMESAN CH,SMB (AM Segment),29.2%,22,100.0%,€14.52,28.8%,22,100.0%,€15.21
1027,RESTORAN GOSTIDZE,SMB (AM Segment),29.2%,27,24.1%,€28.46,29.2%,36,28.4%,€26.04
1028,KOSMO SUSHI,SMB (AM Segment),29.2%,5,100.0%,€25.20,28.9%,5,100.0%,€25.27
1029,LAMBUKA,SMB (AM Segment),29.2%,10,100.0%,€22.21,29.7%,10,100.0%,€19.29
1030,DIA TO GO,SMB (AM Segment),29.2%,5,100.0%,€22.78,28.1%,2,100.0%,€29.73
1031,VIKTORIA,Mid-market (AM Segment),29.2%,7,0.0%,€17.57,28.8%,9,0.0%,€10.17
1032,SNIDANOKOBIDVECHERYA,SMB (AM Segment),29.2%,2,0.0%,€8.62,28.0%,1,0.0%,€15.95
1033,CITYBUFFET,SMB (AM Segment),29.2%,8,100.0%,€10.35,28.4%,9,100.0%,€14.40
1034,PIZZA MANIA,SMB (AM Segment),29.2%,2,100.0%,€17.26,27.0%,1,100.0%,€11.63
1035,SMACHNI TRADYCII KROP,SMB (AM Segment),29.1%,2,100.0%,€11.69,32.0%,1,100.0%,€9.27
1036,PO KYHLY,SMB (AM Segment),29.1%,19,0.0%,€11.56,25.6%,19,0.0%,€11.51
1037,BEIRUT,SMB (AM Segment),29.1%,45,100.0%,€18.91,29.6%,26,100.0%,€16.94
1038,KEGOVA,SMB (AM Segment),29.1%,13,100.0%,€14.78,26.1%,21,100.0%,€14.96
1039,DOMASHNIY RESTORANCHYK,Mid-market (AM Segment),29.1%,184,100.0%,€15.48,28.7%,178,100.0%,€16.57
1040,MR SHAVUKHA,SMB (AM Segment),29.1%,25,0.0%,€15.66,29.4%,26,0.0%,€13.36
1041,PO KEBABU,SMB (AM Segment),29.1%,43,100.0%,€12.86,29.5%,49,100.0%,€12.55
1042,VALIKO,SMB (AM Segment),29.1%,33,100.0%,€15.54,30.0%,55,100.0%,€13.16
1043,SHAMPANERIYA,SMB (AM Segment),29.1%,9,100.0%,€14.39,28.5%,8,100.0%,€23.71
1044,BIG MAMA,Mid-market (AM Segment),29.1%,72,0.0%,€17.59,30.0%,72,0.0%,€18.46
1045,UZBECKA KUHNIA MITNICIA,SMB (AM Segment),29.0%,6,0.0%,€19.31,30.0%,5,0.0%,€14.53
1046,B BURGER,SMB (AM Segment),29.0%,6,100.0%,€16.14,28.0%,3,100.0%,€9.68
1047,HALUCKUI KEBDB,SMB (AM Segment),29.0%,24,0.0%,€13.36,30.0%,48,0.0%,€11.56
1048,LA FRUSTA,SMB (AM Segment),29.0%,5,0.0%,€18.97,28.6%,9,0.0%,€17.68
1049,FUDMILS,SMB (AM Segment),29.0%,28,100.0%,€19.56,28.8%,15,100.0%,€22.45
1050,POLOVYNA SONTSYA,SMB (AM Segment),29.0%,10,0.0%,€22.80,25.8%,13,0.0%,€19.48
1051,BATISTA,SMB (AM Segment),29.0%,4,100.0%,€14.72,28.0%,6,100.0%,€17.72
1052,ZHURAVEL ASIA GRILL,SMB (AM Segment),29.0%,7,0.0%,€24.07,29.0%,5,0.0%,€18.97
1053,GOLD BEER PUB,SMB (AM Segment),29.0%,7,0.0%,€12.51,29.0%,8,0.0%,€11.39
1054,DON MARE,SMB (AM Segment),29.0%,7,0.0%,€14.31,28.6%,10,0.0%,€18.02
1055,TEDDY,Mid-market (AM Segment),29.0%,12,0.0%,€21.26,29.0%,15,0.0%,€22.94
1056,STEYKHOUSE DYNAMOBLUZ,SMB (AM Segment),29.0%,7,0.0%,€15.62,29.0%,3,0.0%,€18.33
1057,ERLIN,SMB (AM Segment),29.0%,1,0.0%,€13.18,29.0%,4,0.0%,€17.14
1058,CUKOR RED,Mid-market (AM Segment),29.0%,11,0.0%,€22.47,29.0%,11,0.0%,€18.62
1059,ALBARAKA,SMB (AM Segment),29.0%,1,0.0%,€8.39,29.0%,7,0.0%,€14.36
1060,HANGIRI SUSHI,SMB (AM Segment),29.0%,3,0.0%,€36.70,29.0%,1,0.0%,€40.95
1061,PICKARDS FANTASTIC KITCHEN,SMB (AM Segment),29.0%,7,0.0%,€10.44,29.0%,6,0.0%,€10.02
1062,MORE RYBY,Mid-market (AM Segment),29.0%,6,0.0%,€25.09,29.0%,10,0.0%,€42.65
1063,FUGU,Mid-market (AM Segment),29.0%,31,51.8%,€21.08,29.0%,54,66.1%,€21.50
1064,KITCHEN POLLY,SMB (AM Segment),29.0%,39,0.0%,€18.97,28.9%,37,0.0%,€15.99
1065,VAM PIZZA,SMB (AM Segment),29.0%,1,0.0%,€7.25,26.2%,3,0.0%,€12.15
1066,MIGRAN,SMB (AM Segment),29.0%,5,0.0%,€21.50,29.0%,7,0.0%,€12.91
1067,URARTU,SMB (AM Segment),29.0%,9,0.0%,€13.94,29.0%,6,0.0%,€19.20
1068,TIME BAR,SMB (AM Segment),29.0%,19,0.0%,€15.15,29.0%,19,0.0%,€19.43
1069,4844 OUTLAW BAR,SMB (AM Segment),29.0%,3,100.0%,€17.82,33.0%,6,100.0%,€18.29
